treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
P,HOK,HOK,SEK,2,5,1,1A,30,1.148,1.931034483,1.766820858,590
AB,HOK,HOK,SEK,2,5,1,1B,30,0.492,0.827586207,0.663372582,590
P,SEK,HOK,SEK,2,5,1,1C,30,1.551,2.608915055,2.44470143,590
AB,SEK,HOK,SEK,2,5,1,1D,30,0.443,0.745164003,0.580950379,590
P,SEK,SEK,SEK,2,5,1,1E,30,0.486,0.817493692,0.653280067,590
AB,SEK,SEK,SEK,2,5,1,1F,30,0.702,1.180824222,1.016610597,590
P,HOK,SEK,SEK,2,5,1,1G,30,0.859,1.44491169,1.280698066,590
AB,HOK,SEK,SEK,2,5,1,1H,30,1.227,2.06391926,1.899705635,590
P,HOK,HOK,SEK,2,4,1,2A,30,0.429,0.721614802,0.557401178,590
AB,HOK,HOK,SEK,2,4,1,2B,30,0.724,1.217830109,1.053616484,590
P,SEK,HOK,SEK,2,4,1,2C,30,0.491,0.825904121,0.661690496,590
AB,SEK,HOK,SEK,2,4,1,2D,30,1.217,2.047098402,1.882884777,590
P,SEK,SEK,SEK,2,4,1,2E,30,0.787,1.323801514,1.159587889,590
AB,SEK,SEK,SEK,2,4,1,2F,30,1.325,2.228763667,2.064550042,590
P,HOK,SEK,SEK,2,4,1,2G,30,0.472,0.793944491,0.629730866,590
AB,HOK,SEK,SEK,2,4,1,2H,30,0.575,0.967199327,0.802985702,590
P,HOK,HOK,SEK,2,3,1,3A,30,0.304,0.511354079,0.347140454,590
AB,HOK,HOK,SEK,2,3,1,3B,30,1.353,2.275862069,2.111648444,590
P,SEK,HOK,SEK,2,3,1,3C,30,0.283,0.476030278,0.311816653,590
AB,SEK,HOK,SEK,2,3,1,3D,30,0.303,0.509671993,0.345458368,590
P,SEK,SEK,SEK,2,3,1,3E,30,0.344,0.578637511,0.414423886,590
AB,SEK,SEK,SEK,2,3,1,3F,30,0.696,1.170731707,1.006518082,590
P,HOK,SEK,SEK,2,3,1,3G,30,1.324,2.227081581,2.062867956,590
AB,HOK,SEK,SEK,2,3,1,3H,30,0.341,0.573591253,0.409377628,590
P,HOK,HOK,SEK,2,2,1,4A,30,1.088,1.830109336,1.665895711,590
AB,HOK,HOK,SEK,2,2,1,4B,30,0.375,0.63078217,0.466568545,590
P,SEK,HOK,SEK,2,2,1,4C,30,1.775,2.985702271,2.821488646,590
AB,SEK,HOK,SEK,2,2,1,4D,30,1.382,2.324642557,2.160428932,590
P,SEK,SEK,SEK,2,2,1,4E,30,1.455,2.447434819,2.283221194,590
AB,SEK,SEK,SEK,2,2,1,4F,30,1.777,2.989066442,2.824852817,590
P,HOK,SEK,SEK,2,2,1,4G,30,0.418,0.703111859,0.538898234,590
AB,HOK,SEK,SEK,2,2,1,4H,30,1.355,2.279226241,2.115012616,590
P,HOK,HOK,SEK,2,1,1,5A,30,0.581,0.977291842,0.813078217,590
AB,HOK,HOK,SEK,2,1,1,5B,30,1.516,2.550042052,2.385828427,590
P,SEK,HOK,SEK,2,1,1,5C,30,0.961,1.616484441,1.452270816,590
AB,SEK,HOK,SEK,2,1,1,5D,30,0.788,1.3254836,1.161269975,590
P,SEK,SEK,SEK,2,1,1,5E,30,0.553,0.93019344,0.765979815,590
AB,SEK,SEK,SEK,2,1,1,5F,30,1.284,2.15979815,1.995584525,590
P,HOK,SEK,SEK,2,1,1,5G,30,0.762,1.281749369,1.117535744,590
AB,HOK,SEK,SEK,2,1,1,5H,30,1.474,2.479394449,2.315180824,590
P,HOK,HOK,HOK,2,5,1,6A,30,1.283,2.158116064,1.993902439,590
AB,HOK,HOK,HOK,2,5,1,6B,30,0.363,0.610597141,0.446383516,590
P,SEK,HOK,HOK,2,5,1,6C,30,1.486,2.499579479,2.335365854,590
AB,SEK,HOK,HOK,2,5,1,6D,30,0.602,1.012615643,0.848402019,590
P,SEK,SEK,HOK,2,5,1,6E,30,1.1,1.850294365,1.68608074,590
AB,SEK,SEK,HOK,2,5,1,6F,30,1.312,2.206896552,2.042682927,590
P,HOK,SEK,HOK,2,5,1,6G,30,1.056,1.77628259,1.612068966,590
AB,HOK,SEK,HOK,2,5,1,6H,30,0.467,0.785534062,0.621320437,590
P,HOK,HOK,HOK,2,4,1,7A,30,0.271,0.455845248,0.291631623,590
AB,HOK,HOK,HOK,2,4,1,7B,30,1.417,2.383515559,2.219301934,590
P,SEK,HOK,HOK,2,4,1,7C,30,0.251,0.422203532,0.257989908,590
AB,SEK,HOK,HOK,2,4,1,7D,30,1.359,2.285954584,2.121740959,590
P,SEK,SEK,HOK,2,4,1,7E,30,0.3,0.504625736,0.340412111,590
AB,SEK,SEK,HOK,2,4,1,7F,30,0.297,0.499579479,0.335365854,590
P,HOK,SEK,HOK,2,4,1,7G,30,0.577,0.970563499,0.806349874,590
AB,HOK,SEK,HOK,2,4,1,7H,30,0.301,0.506307822,0.342094197,590
P,HOK,HOK,HOK,2,3,1,8A,30,0.385,0.647603028,0.483389403,590
AB,HOK,HOK,HOK,2,3,1,8B,30,0.585,0.984020185,0.81980656,590
P,SEK,HOK,HOK,2,3,1,8C,30,0.651,1.095037847,0.930824222,590
AB,SEK,HOK,HOK,2,3,1,8D,30,0.405,0.681244744,0.517031119,590
P,SEK,SEK,HOK,2,3,1,8E,30,0.772,1.298570227,1.134356602,590
AB,SEK,SEK,HOK,2,3,1,8F,30,0.423,0.711522288,0.547308663,590
P,HOK,SEK,HOK,2,3,1,8G,30,0.924,1.554247267,1.390033642,590
AB,HOK,SEK,HOK,2,3,1,8H,30,1.456,2.449116905,2.28490328,590
P,HOK,HOK,HOK,2,2,1,9A,30,1.607,2.703111859,2.538898234,590
AB,HOK,HOK,HOK,2,2,1,9B,30,1.737,2.921783011,2.757569386,590
P,SEK,HOK,HOK,2,2,1,9C,30,1.059,1.781328848,1.617115223,590
AB,SEK,HOK,HOK,2,2,1,9D,30,0.669,1.125315391,0.961101766,590
P,SEK,SEK,HOK,2,2,1,9E,30,1.016,1.708999159,1.544785534,590
AB,SEK,SEK,HOK,2,2,1,9F,30,0.638,1.073170732,0.908957107,590
P,HOK,SEK,HOK,2,2,1,9G,30,0.877,1.475189235,1.31097561,590
AB,HOK,SEK,HOK,2,2,1,9H,30,0.751,1.263246426,1.099032801,590
P,HOK,HOK,HOK,2,1,1,10A,30,0.548,0.921783011,0.757569386,590
AB,HOK,HOK,HOK,2,1,1,10B,30,0.463,0.778805719,0.614592094,590
P,SEK,HOK,HOK,2,1,1,10C,30,0.894,1.503784693,1.339571068,590
AB,SEK,HOK,HOK,2,1,1,10D,30,1.46,2.455845248,2.291631623,590
P,SEK,SEK,HOK,2,1,1,10E,30,0.457,0.768713204,0.60449958,590
AB,SEK,SEK,HOK,2,1,1,10F,30,2.107,3.544154752,3.379941127,590
P,HOK,SEK,HOK,2,1,1,10G,30,1.76,2.960470984,2.796257359,590
AB,HOK,SEK,HOK,2,1,1,10H,30,1.792,3.014297729,2.850084104,590
P,HOK,HOK,SEK,1,5,1,1A,30,0.334,0.561816653,0.397603028,590
AB,HOK,HOK,SEK,1,5,1,1B,30,0.293,0.492851135,0.328637511,590
P,SEK,HOK,SEK,1,5,1,1C,30,0.352,0.592094197,0.427880572,590
AB,SEK,HOK,SEK,1,5,1,1D,30,0.369,0.620689655,0.45647603,590
P,SEK,SEK,SEK,1,5,1,1E,30,0.269,0.452481077,0.288267452,590
AB,SEK,SEK,SEK,1,5,1,1F,30,0.656,1.103448276,0.939234651,590
P,HOK,SEK,SEK,1,5,1,1G,30,0.379,0.637510513,0.473296888,590
AB,HOK,SEK,SEK,1,5,1,1H,30,0.473,0.795626577,0.631412952,590
P,HOK,HOK,SEK,1,4,1,2A,30,0.973,1.63666947,1.472455845,590
AB,HOK,HOK,SEK,1,4,1,2B,30,0.713,1.199327166,1.035113541,590
P,SEK,HOK,SEK,1,4,1,2C,30,1.345,2.262405383,2.098191758,590
AB,SEK,HOK,SEK,1,4,1,2D,30,0.688,1.157275021,0.993061396,590
P,SEK,SEK,SEK,1,4,1,2E,30,0.543,0.913372582,0.749158957,590
AB,SEK,SEK,SEK,1,4,1,2F,30,1.393,2.3431455,2.178931876,590
P,HOK,SEK,SEK,1,4,1,2G,30,1.463,2.460891505,2.296677881,590
AB,HOK,SEK,SEK,1,4,1,2H,30,1.353,2.275862069,2.111648444,590
P,HOK,HOK,SEK,1,3,1,3A,30,0.31,0.521446594,0.357232969,590
AB,HOK,HOK,SEK,1,3,1,3B,30,0.47,0.79058032,0.626366695,590
P,SEK,HOK,SEK,1,3,1,3C,30,1.097,1.845248108,1.681034483,590
AB,SEK,HOK,SEK,1,3,1,3D,30,1.489,2.504625736,2.340412111,590
P,SEK,SEK,SEK,1,3,1,3E,30,1.764,2.967199327,2.802985702,590
AB,SEK,SEK,SEK,1,3,1,3F,30,0.266,0.447434819,0.283221194,590
P,HOK,SEK,SEK,1,3,1,3G,30,0.516,0.867956266,0.703742641,590
AB,HOK,SEK,SEK,1,3,1,3H,30,0.612,1.029436501,0.865222876,590
P,HOK,HOK,SEK,1,2,1,4A,30,0.458,0.77039529,0.606181665,590
AB,HOK,HOK,SEK,1,2,1,4B,30,1.356,2.280908326,2.116694701,590
