treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
P,HOK,HOK,SEK,2,5,17,1A,30,1.077,0.701343101,0.620594221,590
AB,HOK,HOK,SEK,2,5,17,1B,30,1.642,1.069271469,0.988522589,590
P,SEK,HOK,SEK,2,5,17,1C,30,1.814,1.181277981,1.100529101,590
AB,SEK,HOK,SEK,2,5,17,1D,30,0.422,0.274806675,0.194057794,590
P,SEK,SEK,SEK,2,5,17,1E,30,2.163,1.408547009,1.327798128,590
AB,SEK,SEK,SEK,2,5,17,1F,30,0.872,0.567846968,0.487098087,590
P,HOK,SEK,SEK,2,5,17,1G,30,1.787,1.163695564,1.082946683,590
AB,HOK,SEK,SEK,2,5,17,1H,30,1.047,0.681807082,0.601058201,590
P,HOK,HOK,SEK,2,4,17,2A,30,1.592,1.036711437,0.955962556,590
AB,HOK,HOK,SEK,2,4,17,2B,30,1.158,0.754090354,0.673341473,590
P,SEK,HOK,SEK,2,4,17,2C,30,0.956,0.622547823,0.541798942,590
AB,SEK,HOK,SEK,2,4,17,2D,30,1.22,0.794464795,0.713715914,590
P,SEK,SEK,SEK,2,4,17,2E,30,1.567,1.02043142,0.93968254,590
AB,SEK,SEK,SEK,2,4,17,2F,30,0.541,0.352299552,0.271550672,590
P,HOK,SEK,SEK,2,4,17,2G,30,1.347,0.877167277,0.796418396,590
AB,HOK,SEK,SEK,2,4,17,2H,30,0.42,0.273504274,0.192755393,590
P,HOK,HOK,SEK,2,3,17,3A,30,1.41,0.918192918,0.837444037,590
AB,HOK,HOK,SEK,2,3,17,3B,30,1.079,0.702645503,0.621896622,590
P,SEK,HOK,SEK,2,3,17,3C,30,1.779,1.158485958,1.077737078,590
AB,SEK,HOK,SEK,2,3,17,3D,30,1.186,0.772323972,0.691575092,590
P,SEK,SEK,SEK,2,3,17,3E,30,1.809,1.178021978,1.097273097,590
AB,SEK,SEK,SEK,2,3,17,3F,30,2.076,1.351892552,1.271143671,590
P,HOK,SEK,SEK,2,3,17,3G,30,2.211,1.43980464,1.359055759,590
AB,HOK,SEK,SEK,2,3,17,3H,30,1.97,1.282865283,1.202116402,590
P,HOK,HOK,SEK,2,2,17,4A,30,2.115,1.377289377,1.296540497,590
AB,HOK,HOK,SEK,2,2,17,4B,30,1.867,1.215791616,1.135042735,590
P,SEK,HOK,SEK,2,2,17,4C,30,0.812,0.528774929,0.448026048,590
AB,SEK,HOK,SEK,2,2,17,4D,30,0.898,0.584778185,0.504029304,590
P,SEK,SEK,SEK,2,2,17,4E,30,1.722,1.121367521,1.040618641,590
AB,SEK,SEK,SEK,2,2,17,4F,30,1.136,0.73976394,0.659015059,590
P,HOK,SEK,SEK,2,2,17,4G,30,1.538,1.001546602,0.920797721,590
AB,HOK,SEK,SEK,2,2,17,4H,30,1.617,1.052991453,0.972242572,590
P,HOK,HOK,SEK,2,1,17,5A,30,0.861,0.560683761,0.47993488,590
AB,HOK,HOK,SEK,2,1,17,5B,30,1.605,1.045177045,0.964428164,590
P,SEK,HOK,SEK,2,1,17,5C,30,0.547,0.356206756,0.275457876,590
AB,SEK,HOK,SEK,2,1,17,5D,30,1.702,1.108343508,1.027594628,590
P,SEK,SEK,SEK,2,1,17,5E,30,1.717,1.118111518,1.037362637,590
AB,SEK,SEK,SEK,2,1,17,5F,30,1.457,0.948799349,0.868050468,590
P,HOK,SEK,SEK,2,1,17,5G,30,1.855,1.207977208,1.127228327,590
AB,HOK,SEK,SEK,2,1,17,5H,30,2.138,1.392266992,1.311518112,590
P,HOK,HOK,HOK,2,5,17,6A,30,1.498,0.975498576,0.894749695,590
AB,HOK,HOK,HOK,2,5,17,6B,30,1.423,0.926658527,0.845909646,590
P,SEK,HOK,HOK,2,5,17,6C,30,1.716,1.117460317,1.036711437,590
AB,SEK,HOK,HOK,2,5,17,6D,30,1.482,0.965079365,0.884330484,590
P,SEK,SEK,HOK,2,5,17,6E,30,2.29,1.491249491,1.410500611,590
AB,SEK,SEK,HOK,2,5,17,6F,30,1.561,1.016524217,0.935775336,590
P,HOK,SEK,HOK,2,5,17,6G,30,2.181,1.42026862,1.33951974,590
AB,HOK,SEK,HOK,2,5,17,6H,30,1.468,0.955962556,0.875213675,590
P,HOK,HOK,HOK,2,4,17,7A,30,0.421,0.274155474,0.193406593,590
AB,HOK,HOK,HOK,2,4,17,7B,30,0.402,0.261782662,0.181033781,590
P,SEK,HOK,HOK,2,4,17,7C,30,1.419,0.924053724,0.843304843,590
AB,SEK,HOK,HOK,2,4,17,7D,30,0.558,0.363369963,0.282621083,590
P,SEK,SEK,HOK,2,4,17,7E,30,0.452,0.294342694,0.213593814,590
AB,SEK,SEK,HOK,2,4,17,7F,30,0.684,0.445421245,0.364672365,590
P,HOK,SEK,HOK,2,4,17,7G,30,1.556,1.013268213,0.932519333,590
AB,HOK,SEK,HOK,2,4,17,7H,30,1.628,1.06015466,0.979405779,590
P,HOK,HOK,HOK,2,3,17,8A,30,1.268,0.825722426,0.744973545,590
AB,HOK,HOK,HOK,2,3,17,8B,30,1.236,0.804884005,0.724135124,590
P,SEK,HOK,HOK,2,3,17,8C,30,1.745,1.136345136,1.055596256,590
AB,SEK,HOK,HOK,2,3,17,8D,30,2.114,1.376638177,1.295889296,590
P,SEK,SEK,HOK,2,3,17,8E,30,1.754,1.142205942,1.061457061,590
AB,SEK,SEK,HOK,2,3,17,8F,30,1.84,1.198209198,1.117460317,590
P,HOK,SEK,HOK,2,3,17,8G,30,0.399,0.25982906,0.179080179,590
AB,HOK,SEK,HOK,2,3,17,8H,30,1.554,1.011965812,0.931216931,590
P,HOK,HOK,HOK,2,2,17,9A,30,1.988,1.294586895,1.213838014,590
AB,HOK,HOK,HOK,2,2,17,9B,30,2.142,1.394871795,1.314122914,590
P,SEK,HOK,HOK,2,2,17,9C,30,1.58,1.028897029,0.948148148,590
AB,SEK,HOK,HOK,2,2,17,9D,30,1.832,1.192999593,1.112250712,590
P,SEK,SEK,HOK,2,2,17,9E,30,1.834,1.194301994,1.113553114,590
AB,SEK,SEK,HOK,2,2,17,9F,30,1.277,0.831583232,0.750834351,590
P,HOK,SEK,HOK,2,2,17,9G,30,1.843,1.2001628,1.119413919,590
AB,HOK,SEK,HOK,2,2,17,9H,30,0.983,0.64013024,0.559381359,590
P,HOK,HOK,HOK,2,1,17,10A,30,2.347,1.528367928,1.447619048,590
AB,HOK,HOK,HOK,2,1,17,10B,30,2.287,1.489295889,1.408547009,590
P,SEK,HOK,HOK,2,1,17,10C,30,2.296,1.495156695,1.414407814,590
AB,SEK,HOK,HOK,2,1,17,10D,30,1.697,1.105087505,1.024338624,590
P,SEK,SEK,HOK,2,1,17,10E,30,4,2.604802605,2.524053724,590
AB,SEK,SEK,HOK,2,1,17,10F,30,1.637,1.066015466,0.985266585,590
P,HOK,SEK,HOK,2,1,17,10G,30,2.076,1.351892552,1.271143671,590
AB,HOK,SEK,HOK,2,1,17,10H,30,1.807,1.176719577,1.095970696,590
P,HOK,HOK,SEK,1,5,17,1A,30,1.328,0.864794465,0.784045584,590
AB,HOK,HOK,SEK,1,5,17,1B,30,1.489,0.96963777,0.888888889,590
P,SEK,HOK,SEK,1,5,17,1C,30,0.716,0.466259666,0.385510786,590
AB,SEK,HOK,SEK,1,5,17,1D,30,0.605,0.393976394,0.313227513,590
P,SEK,SEK,SEK,1,5,17,1E,30,0.596,0.388115588,0.307366707,590
AB,SEK,SEK,SEK,1,5,17,1F,30,1.957,1.274399674,1.193650794,590
P,HOK,SEK,SEK,1,5,17,1G,30,2.208,1.437851038,1.357102157,590
AB,HOK,SEK,SEK,1,5,17,1H,30,2.033,1.323890924,1.243142043,590
P,HOK,HOK,SEK,1,4,17,2A,30,0.91,0.592592593,0.511843712,590
AB,HOK,HOK,SEK,1,4,17,2B,30,0.674,0.438909239,0.358160358,590
P,SEK,HOK,SEK,1,4,17,2C,30,1.039,0.676597477,0.595848596,590
AB,SEK,HOK,SEK,1,4,17,2D,30,2.2,1.432641433,1.351892552,590
P,SEK,SEK,SEK,1,4,17,2E,30,0.716,0.466259666,0.385510786,590
AB,SEK,SEK,SEK,1,4,17,2F,30,0.829,0.53984534,0.459096459,590
P,HOK,SEK,SEK,1,4,17,2G,30,1.525,0.993080993,0.912332112,590
AB,HOK,SEK,SEK,1,4,17,2H,30,1.318,0.858282458,0.777533578,590
P,HOK,HOK,SEK,1,3,17,3A,30,0.457,0.297598698,0.216849817,590
AB,HOK,HOK,SEK,1,3,17,3B,30,1.382,0.8999593,0.819210419,590
P,SEK,HOK,SEK,1,3,17,3C,30,1.367,0.89019129,0.809442409,590
AB,SEK,HOK,SEK,1,3,17,3D,30,1.147,0.746927147,0.666178266,590
P,SEK,SEK,SEK,1,3,17,3E,30,1.641,1.068620269,0.987871388,590
AB,SEK,SEK,SEK,1,3,17,3F,30,1.084,0.705901506,0.625152625,590
P,HOK,SEK,SEK,1,3,17,3G,30,1.076,0.700691901,0.61994302,590
AB,HOK,SEK,SEK,1,3,17,3H,30,1.313,0.855026455,0.774277574,590
P,HOK,HOK,SEK,1,2,17,4A,30,0.428,0.278713879,0.197964998,590
AB,HOK,HOK,SEK,1,2,17,4B,30,0.482,0.313878714,0.233129833,590
P,SEK,HOK,SEK,1,2,17,4C,30,1.646,1.071876272,0.991127391,590
AB,SEK,HOK,SEK,1,2,17,4D,30,0.448,0.291737892,0.210989011,590
P,SEK,SEK,SEK,1,2,17,4E,30,0.53,0.345136345,0.264387464,590
AB,SEK,SEK,SEK,1,2,17,4F,30,1.366,0.88954009,0.808791209,590
P,HOK,SEK,SEK,1,2,17,4G,30,1.716,1.117460317,1.036711437,590
AB,HOK,SEK,SEK,1,2,17,4H,30,1.015,0.660968661,0.58021978,590
P,HOK,HOK,SEK,1,1,17,5A,30,0.716,0.466259666,0.385510786,590
AB,HOK,HOK,SEK,1,1,17,5B,30,1.968,1.281562882,1.200814001,590
P,SEK,HOK,SEK,1,1,17,5C,30,0.968,0.63036223,0.54961335,590
AB,SEK,HOK,SEK,1,1,17,5D,30,0.736,0.479283679,0.398534799,590
