treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
P,HOK,SEK,HOK,2,3,5,8G,30,1.042,3.560871422,3.180264844,590
AB,HOK,SEK,HOK,2,3,5,8H,30,0.574,1.961554891,1.580948313,590
P,HOK,HOK,HOK,2,2,5,9A,30,0.469,1.602733874,1.222127296,590
AB,HOK,HOK,HOK,2,2,5,9B,30,0.465,1.589064502,1.208457924,590
P,SEK,HOK,HOK,2,2,5,9C,30,0.484,1.65399402,1.273387441,590
AB,SEK,HOK,HOK,2,2,5,9D,30,0.416,1.421614695,1.041008116,590
P,SEK,SEK,HOK,2,2,5,9E,30,1.473,5.033746262,4.653139684,590
AB,SEK,SEK,HOK,2,2,5,9F,30,0.437,1.493378898,1.11277232,590
P,HOK,SEK,HOK,2,2,5,9G,30,1.108,3.786416062,3.405809483,590
AB,HOK,SEK,HOK,2,2,5,9H,30,0.642,2.193934216,1.813327638,590
P,HOK,HOK,HOK,2,1,5,10A,30,0.804,2.747543785,2.366937206,590
AB,HOK,HOK,HOK,2,1,5,10B,30,1.368,4.674925246,4.294318667,590
P,SEK,HOK,HOK,2,1,5,10C,30,1.595,5.45066211,5.070055532,590
AB,SEK,HOK,HOK,2,1,5,10D,30,1.398,4.777445536,4.396838958,590
P,SEK,SEK,HOK,2,1,5,10E,30,0.802,2.740709099,2.36010252,590
AB,SEK,SEK,HOK,2,1,5,10F,30,1.191,4.070055532,3.689448953,590
P,HOK,SEK,HOK,2,1,5,10G,30,1.388,4.743272106,4.362665528,590
AB,HOK,SEK,HOK,2,1,5,10H,30,1.362,4.654421188,4.273814609,590
P,HOK,HOK,SEK,1,5,5,1A,30,0.737,2.518581803,2.137975224,590
AB,HOK,HOK,SEK,1,5,5,1B,30,0.449,1.534387014,1.153780436,590
P,SEK,HOK,SEK,1,5,5,1C,30,1.386,4.73643742,4.355830842,590
AB,SEK,HOK,SEK,1,5,5,1D,30,1.479,5.05425032,4.673643742,590
P,SEK,SEK,SEK,1,5,5,1E,30,0.372,1.271251602,0.890645024,590
AB,SEK,SEK,SEK,1,5,5,1F,30,0.309,1.055958992,0.675352414,590
P,HOK,SEK,SEK,1,5,5,1G,30,1.349,4.609995728,4.22938915,590
AB,HOK,SEK,SEK,1,5,5,1H,30,0.435,1.486544212,1.105937633,590
P,HOK,HOK,SEK,1,4,5,2A,30,1.262,4.312686886,3.932080308,590
AB,HOK,HOK,SEK,1,4,5,2B,30,1.6,5.467748825,5.087142247,590
P,SEK,HOK,SEK,1,4,5,2C,30,1.447,4.944895344,4.564288765,590
AB,SEK,HOK,SEK,1,4,5,2D,30,1.685,5.758222982,5.377616403,590
P,SEK,SEK,SEK,1,4,5,2E,30,0.896,3.061939342,2.681332764,590
AB,SEK,SEK,SEK,1,4,5,2F,30,0.458,1.565143101,1.184536523,590
