treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
P,HOK,HOK,SEK,2,5,3,1A,30,0.614,0.890500363,0.736040609,590
AB,HOK,HOK,SEK,2,5,3,1B,30,0.433,0.627991298,0.473531545,590
P,SEK,HOK,SEK,2,5,3,1C,30,1.507,2.185641769,2.031182016,590
AB,SEK,HOK,SEK,2,5,3,1D,30,0.421,0.610587382,0.456127629,590
P,SEK,SEK,SEK,2,5,3,1E,30,0.733,1.063089195,0.908629442,590
AB,SEK,SEK,SEK,2,5,3,1F,30,0.917,1.329949239,1.175489485,590
P,HOK,SEK,SEK,2,5,3,1G,30,0.997,1.445975344,1.291515591,590
AB,HOK,SEK,SEK,2,5,3,1H,30,0.539,0.781725888,0.627266135,590
P,HOK,HOK,SEK,2,4,3,2A,30,0.398,0.577229877,0.422770123,590
AB,HOK,HOK,SEK,2,4,3,2B,30,0.549,0.796229152,0.641769398,590
P,SEK,HOK,SEK,2,4,3,2C,30,0.349,0.506163887,0.351704133,590
AB,SEK,HOK,SEK,2,4,3,2D,30,1.438,2.085569253,1.9311095,590
P,SEK,SEK,SEK,2,4,3,2E,30,0.403,0.584481508,0.430021755,590
AB,SEK,SEK,SEK,2,4,3,2F,30,0.569,0.825235678,0.670775925,590
P,HOK,SEK,SEK,2,4,3,2G,30,1.443,2.092820885,1.938361131,590
AB,HOK,SEK,SEK,2,4,3,2H,30,1.13,1.638868745,1.484408992,590
P,HOK,HOK,SEK,2,3,3,3A,30,0.337,0.488759971,0.334300218,590
AB,HOK,HOK,SEK,2,3,3,3B,30,0.381,0.552574329,0.398114576,590
P,SEK,HOK,SEK,2,3,3,3C,30,0.429,0.622189993,0.467730239,590
AB,SEK,HOK,SEK,2,3,3,3D,30,0.754,1.093546048,0.939086294,590
P,SEK,SEK,SEK,2,3,3,3E,30,0.785,1.138506164,0.98404641,590
AB,SEK,SEK,SEK,2,3,3,3F,30,1.424,2.065264685,1.910804931,590
P,HOK,SEK,SEK,2,3,3,3G,30,1.733,2.513415518,2.358955765,590
AB,HOK,SEK,SEK,2,3,3,3H,30,1.007,1.460478608,1.306018854,590
P,HOK,HOK,SEK,2,2,3,4A,30,0.416,0.603335751,0.448875997,590
AB,HOK,HOK,SEK,2,2,3,4B,30,0.667,0.967367658,0.812907904,590
P,SEK,HOK,SEK,2,2,3,4C,30,1.253,1.817258883,1.66279913,590
