treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
P,HOK,HOK,SEK,2,5,7,1A,30,0.79,0.965917775,0.84089867,590
AB,HOK,HOK,SEK,2,5,7,1B,30,1.467,1.793672627,1.668653523,590
P,SEK,HOK,SEK,2,5,7,1C,30,1.748,2.137245912,2.012226807,590
AB,SEK,HOK,SEK,2,5,7,1D,30,1.508,1.843802537,1.718783433,590
P,SEK,SEK,SEK,2,5,7,1E,30,0.527,0.644352743,0.519333639,590
AB,SEK,SEK,SEK,2,5,7,1F,30,0.453,0.55387437,0.428855265,590
P,HOK,SEK,SEK,2,5,7,1G,30,1.363,1.666513832,1.541494727,590
AB,HOK,SEK,SEK,2,5,7,1H,30,1.864,2.279076876,2.154057772,590
P,HOK,HOK,SEK,2,4,7,2A,30,0.394,0.481736207,0.356717102,590
AB,HOK,HOK,SEK,2,4,7,2B,30,0.71,0.868103317,0.743084212,590
P,SEK,HOK,SEK,2,4,7,2C,30,0.332,0.405930002,0.280910897,590
AB,SEK,HOK,SEK,2,4,7,2D,30,0.64,0.782515666,0.657496561,590
P,SEK,SEK,SEK,2,4,7,2E,30,0.428,0.523307351,0.398288247,590
AB,SEK,SEK,SEK,2,4,7,2F,30,0.55,0.6724744,0.547455296,590
P,HOK,SEK,SEK,2,4,7,2G,30,0.391,0.478068165,0.35304906,590
AB,HOK,SEK,SEK,2,4,7,2H,30,2.054,2.511386214,2.38636711,590
P,HOK,HOK,SEK,2,3,7,3A,30,1.502,1.836466453,1.711447348,590
AB,HOK,HOK,SEK,2,3,7,3B,30,1.523,1.862142748,1.737123644,590
P,SEK,HOK,SEK,2,3,7,3C,30,1.045,1.27770136,1.152682256,590
AB,SEK,HOK,SEK,2,3,7,3D,30,0.383,0.468286719,0.343267614,590
P,SEK,SEK,SEK,2,3,7,3E,30,1.969,2.407458352,2.282439248,590
AB,SEK,SEK,SEK,2,3,7,3F,30,0.392,0.479290845,0.354271741,590
P,HOK,SEK,SEK,2,3,7,3G,30,0.394,0.481736207,0.356717102,590
AB,HOK,SEK,SEK,2,3,7,3H,30,0.383,0.468286719,0.343267614,590
P,HOK,HOK,SEK,2,2,7,4A,30,1.057,1.292373529,1.167354425,590
AB,HOK,HOK,SEK,2,2,7,4B,30,1.299,1.588262265,1.463243161,590
P,SEK,HOK,SEK,2,2,7,4C,30,1.471,1.79856335,1.673544246,590
AB,SEK,HOK,SEK,2,2,7,4D,30,1.462,1.787559224,1.662540119,590
P,SEK,SEK,SEK,2,2,7,4E,30,1.304,1.594375669,1.469356564,590
AB,SEK,SEK,SEK,2,2,7,4F,30,0.367,0.448723827,0.323704723,590
P,HOK,SEK,SEK,2,2,7,4G,30,0.323,0.394925875,0.269906771,590
AB,HOK,SEK,SEK,2,2,7,4H,30,0.785,0.959804371,0.834785267,590
P,HOK,HOK,SEK,2,1,7,5A,30,0.929,1.135870396,1.010851291,590
AB,HOK,HOK,SEK,2,1,7,5B,30,0.523,0.639462021,0.514442916,590
P,SEK,HOK,SEK,2,1,7,5C,30,0.583,0.712822864,0.58780376,590
AB,SEK,HOK,SEK,2,1,7,5D,30,0.796,0.973253859,0.848234755,590
P,SEK,SEK,SEK,2,1,7,5E,30,0.833,1.018493046,0.893473942,590
AB,SEK,SEK,SEK,2,1,7,5F,30,0.517,0.632125936,0.507106832,590
P,HOK,SEK,SEK,2,1,7,5G,30,0.514,0.628457894,0.50343879,590
AB,HOK,SEK,SEK,2,1,7,5H,30,0.632,0.77273422,0.647715115,590
P,HOK,HOK,HOK,2,5,7,6A,30,1.754,2.144581996,2.019562892,590
AB,HOK,HOK,HOK,2,5,7,6B,30,0.437,0.534311478,0.409292374,590
P,SEK,HOK,HOK,2,5,7,6C,30,0.428,0.523307351,0.398288247,590
AB,SEK,HOK,HOK,2,5,7,6D,30,0.754,0.921901269,0.796882164,590
P,SEK,SEK,HOK,2,5,7,6E,30,1.396,1.706862296,1.581843191,590
AB,SEK,SEK,HOK,2,5,7,6F,30,1.04,1.271587957,1.146568852,590
P,HOK,SEK,HOK,2,5,7,6G,30,1.301,1.590707626,1.465688522,590
AB,HOK,SEK,HOK,2,5,7,6H,30,0.619,0.75683937,0.631820266,590
P,HOK,HOK,HOK,2,4,7,7A,30,0.326,0.398593917,0.273574813,590
AB,HOK,HOK,HOK,2,4,7,7B,30,0.285,0.348464007,0.223444903,590
P,SEK,HOK,HOK,2,4,7,7C,30,0.394,0.481736207,0.356717102,590
AB,SEK,HOK,HOK,2,4,7,7D,30,0.513,0.627235213,0.502216109,590
P,SEK,SEK,HOK,2,4,7,7E,30,0.348,0.425492893,0.300473789,590
AB,SEK,SEK,HOK,2,4,7,7F,30,0.393,0.480513526,0.355494422,590
P,HOK,SEK,HOK,2,4,7,7G,30,0.32,0.391257833,0.266238728,590
AB,HOK,SEK,HOK,2,4,7,7H,30,0.855,1.045392022,0.920372918,590
P,HOK,HOK,HOK,2,3,7,8A,30,0.356,0.435274339,0.310255235,590
AB,HOK,HOK,HOK,2,3,7,8B,30,0.828,1.012379642,0.887360538,590
P,SEK,HOK,HOK,2,3,7,8C,30,0.516,0.630903255,0.505884151,590
AB,SEK,HOK,HOK,2,3,7,8D,30,0.729,0.89133425,0.766315146,590
P,SEK,SEK,HOK,2,3,7,8E,30,0.399,0.48784961,0.362830506,590
AB,SEK,SEK,HOK,2,3,7,8F,30,0.704,0.860767232,0.735748128,590
P,HOK,SEK,HOK,2,3,7,8G,30,1.935,2.365887208,2.240868103,590
AB,HOK,SEK,HOK,2,3,7,8H,30,0.422,0.515971267,0.390952163,590
P,HOK,HOK,HOK,2,2,7,9A,30,0.476,0.581996026,0.456976922,590
AB,HOK,HOK,HOK,2,2,7,9B,30,0.482,0.589332111,0.464313006,590
P,SEK,HOK,HOK,2,2,7,9C,30,1.343,1.642060217,1.517041113,590
AB,SEK,HOK,HOK,2,2,7,9D,30,0.48,0.586886749,0.461867645,590
P,SEK,SEK,HOK,2,2,7,9E,30,0.568,0.694482653,0.569463549,590
AB,SEK,SEK,HOK,2,2,7,9F,30,0.516,0.630903255,0.505884151,590
P,HOK,SEK,HOK,2,2,7,9G,30,1.623,1.984410821,1.859391716,590
AB,HOK,SEK,HOK,2,2,7,9H,30,0.867,1.060064191,0.935045086,590
P,HOK,HOK,HOK,2,1,7,10A,30,0.509,0.62234449,0.497325386,590
AB,HOK,HOK,HOK,2,1,7,10B,30,0.9,1.100412655,0.97539355,590
P,SEK,HOK,HOK,2,1,7,10C,30,0.54,0.660247593,0.535228489,590
AB,SEK,HOK,HOK,2,1,7,10D,30,0.677,0.827754853,0.702735748,590
P,SEK,SEK,HOK,2,1,7,10E,30,0.468,0.572214581,0.447195476,590
AB,SEK,SEK,HOK,2,1,7,10F,30,0.511,0.624789852,0.499770747,590
P,HOK,SEK,HOK,2,1,7,10G,30,0.47,0.574659942,0.449640838,590
AB,HOK,SEK,HOK,2,1,7,10H,30,0.53,0.648020786,0.523001681,590
P,HOK,HOK,SEK,1,5,7,1A,30,0.426,0.52086199,0.395842886,590
AB,HOK,HOK,SEK,1,5,7,1B,30,1.383,1.690967446,1.565948342,590
P,SEK,HOK,SEK,1,5,7,1C,30,1.437,1.756992205,1.631973101,590
AB,SEK,HOK,SEK,1,5,7,1D,30,0.551,0.673697081,0.548677977,590
P,SEK,SEK,SEK,1,5,7,1E,30,0.35,0.427938255,0.30291915,590
AB,SEK,SEK,SEK,1,5,7,1F,30,0.312,0.381476387,0.256457283,590
P,HOK,SEK,SEK,1,5,7,1G,30,0.375,0.458505273,0.333486168,590
