treatment,tree_id,deploy,metabolite,site_num,tree_num,decomp_day,well_id,time,od_raw,od_corrected_b,od_corrected_b_n,nm
P,HOK,HOK,SEK,2,5,11,1A,30,0.533,0.932225623,0.589199825,590
AB,HOK,HOK,SEK,2,5,11,1B,30,0.414,0.724092698,0.3810669,590
P,SEK,HOK,SEK,2,5,11,1C,30,0.36,0.629645824,0.286620026,590
AB,SEK,HOK,SEK,2,5,11,1D,30,0.277,0.484477481,0.141451683,590
P,SEK,SEK,SEK,2,5,11,1E,30,0.573,1.00218627,0.659160472,590
AB,SEK,SEK,SEK,2,5,11,1F,30,0.344,0.601661565,0.258635767,590
P,HOK,SEK,SEK,2,5,11,1G,30,0.977,1.708788806,1.365763008,590
AB,HOK,SEK,SEK,2,5,11,1H,30,0.355,0.620900743,0.277874945,590
P,HOK,HOK,SEK,2,4,11,2A,30,0.44,0.769567119,0.426541321,590
AB,HOK,HOK,SEK,2,4,11,2B,30,0.346,0.605159598,0.2621338,590
P,SEK,HOK,SEK,2,4,11,2C,30,0.609,1.065150853,0.722125055,590
AB,SEK,HOK,SEK,2,4,11,2D,30,0.281,0.491473546,0.148447748,590
P,SEK,SEK,SEK,2,4,11,2E,30,0.304,0.531700918,0.18867512,590
AB,SEK,SEK,SEK,2,4,11,2F,30,0.28,0.48972453,0.146698732,590
P,HOK,SEK,SEK,2,4,11,2G,30,0.986,1.724529952,1.381504154,590
AB,HOK,SEK,SEK,2,4,11,2H,30,0.352,0.615653695,0.272627897,590
P,HOK,HOK,SEK,2,3,11,3A,30,1.456,2.546567556,2.203541758,590
AB,HOK,HOK,SEK,2,3,11,3B,30,0.71,1.241801487,0.898775689,590
P,SEK,HOK,SEK,2,3,11,3C,30,1.39,2.431132488,2.08810669,590
AB,SEK,HOK,SEK,2,3,11,3D,30,0.64,1.119370354,0.776344556,590
P,SEK,SEK,SEK,2,3,11,3E,30,1.31,2.291211194,1.948185396,590
AB,SEK,SEK,SEK,2,3,11,3F,30,1.524,2.665500656,2.322474858,590
P,HOK,SEK,SEK,2,3,11,3G,30,1.123,1.964145168,1.62111937,590
AB,HOK,SEK,SEK,2,3,11,3H,30,0.559,0.977700044,0.634674246,590
P,HOK,HOK,SEK,2,2,11,4A,30,0.751,1.31351115,0.970485352,590
AB,HOK,HOK,SEK,2,2,11,4B,30,1.311,2.29296021,1.949934412,590
P,SEK,HOK,SEK,2,2,11,4C,30,0.277,0.484477481,0.141451683,590
AB,SEK,HOK,SEK,2,2,11,4D,30,0.256,0.447748142,0.104722344,590
P,SEK,SEK,SEK,2,2,11,4E,30,0.325,0.568430258,0.22540446,590
AB,SEK,SEK,SEK,2,2,11,4F,30,1.81,3.165719283,2.822693485,590
P,HOK,SEK,SEK,2,2,11,4G,30,0.478,0.836029733,0.493003935,590
AB,HOK,SEK,SEK,2,2,11,4H,30,0.428,0.748578924,0.405553126,590
P,HOK,HOK,SEK,2,1,11,5A,30,0.352,0.615653695,0.272627897,590
AB,HOK,HOK,SEK,2,1,11,5B,30,0.493,0.862264976,0.519239178,590
P,SEK,HOK,SEK,2,1,11,5C,30,0.301,0.52645387,0.183428072,590
AB,SEK,HOK,SEK,2,1,11,5D,30,0.347,0.606908614,0.263882816,590
P,SEK,SEK,SEK,2,1,11,5E,30,0.379,0.662877132,0.319851334,590
AB,SEK,SEK,SEK,2,1,11,5F,30,1.001,1.750765195,1.407739397,590
P,HOK,SEK,SEK,2,1,11,5G,30,0.421,0.736335811,0.393310013,590
AB,HOK,SEK,SEK,2,1,11,5H,30,0.363,0.634892873,0.291867075,590
P,HOK,HOK,HOK,2,5,11,6A,30,0.387,0.676869261,0.333843463,590
AB,HOK,HOK,HOK,2,5,11,6B,30,0.957,1.673808483,1.330782685,590
P,SEK,HOK,HOK,2,5,11,6C,30,0.311,0.543944032,0.200918234,590
AB,SEK,HOK,HOK,2,5,11,6D,30,0.324,0.566681242,0.223655444,590
P,SEK,SEK,HOK,2,5,11,6E,30,0.464,0.811543507,0.468517709,590
AB,SEK,SEK,HOK,2,5,11,6F,30,0.49,0.857017927,0.513992129,590
P,HOK,SEK,HOK,2,5,11,6G,30,0.263,0.459991255,0.116965457,590
AB,HOK,SEK,HOK,2,5,11,6H,30,0.433,0.757324005,0.414298207,590
P,HOK,HOK,HOK,2,4,11,7A,30,0.336,0.587669436,0.244643638,590
AB,HOK,HOK,HOK,2,4,11,7B,30,0.543,0.949715785,0.606689987,590
P,SEK,HOK,HOK,2,4,11,7C,30,2.13,3.72540446,3.382378662,590
AB,SEK,HOK,HOK,2,4,11,7D,30,1.384,2.420638391,2.077612593,590
P,SEK,SEK,HOK,2,4,11,7E,30,1.526,2.668998688,2.32597289,590
AB,SEK,SEK,HOK,2,4,11,7F,30,0.652,1.140358548,0.79733275,590
P,HOK,SEK,HOK,2,4,11,7G,30,1.418,2.480104941,2.137079143,590
AB,HOK,SEK,HOK,2,4,11,7H,30,0.621,1.086139047,0.743113249,590
P,HOK,HOK,HOK,2,3,11,8A,30,0.541,0.946217753,0.603191955,590
AB,HOK,HOK,HOK,2,3,11,8B,30,1.588,2.777437691,2.434411893,590
P,SEK,HOK,HOK,2,3,11,8C,30,0.458,0.80104941,0.458023612,590
AB,SEK,HOK,HOK,2,3,11,8D,30,0.641,1.12111937,0.778093572,590
P,SEK,SEK,HOK,2,3,11,8E,30,2.238,3.914298207,3.571272409,590
AB,SEK,SEK,HOK,2,3,11,8F,30,1.233,2.156536948,1.81351115,590
P,HOK,SEK,HOK,2,3,11,8G,30,0.867,1.516397027,1.173371229,590
AB,HOK,SEK,HOK,2,3,11,8H,30,1.076,1.881941408,1.53891561,590
P,HOK,HOK,HOK,2,2,11,9A,30,0.578,1.010931351,0.667905553,590
AB,HOK,HOK,HOK,2,2,11,9B,30,1.797,3.142982073,2.799956275,590
P,SEK,HOK,HOK,2,2,11,9C,30,1.544,2.700480979,2.357455181,590
AB,SEK,HOK,HOK,2,2,11,9D,30,0.391,0.683865326,0.340839528,590
P,SEK,SEK,HOK,2,2,11,9E,30,1.488,2.602536073,2.259510275,590
AB,SEK,SEK,HOK,2,2,11,9F,30,1.379,2.41189331,2.068867512,590
P,HOK,SEK,HOK,2,2,11,9G,30,2.193,3.835592479,3.492566681,590
AB,HOK,SEK,HOK,2,2,11,9H,30,1.691,2.957586358,2.61456056,590
P,HOK,HOK,HOK,2,1,11,10A,30,2.189,3.828596415,3.485570617,590
AB,HOK,HOK,HOK,2,1,11,10B,30,1.997,3.492785308,3.14975951,590
P,SEK,HOK,HOK,2,1,11,10C,30,1.561,2.730214254,2.387188456,590
AB,SEK,HOK,HOK,2,1,11,10D,30,1.006,1.759510275,1.416484477,590
P,SEK,SEK,HOK,2,1,11,10E,30,0.598,1.045911675,0.702885877,590
AB,SEK,SEK,HOK,2,1,11,10F,30,2.155,3.769129864,3.426104066,590
P,HOK,SEK,HOK,2,1,11,10G,30,2.487,4.349803236,4.006777438,590
AB,HOK,SEK,HOK,2,1,11,10H,30,1.501,2.625273284,2.282247486,590
P,HOK,HOK,SEK,1,5,11,1A,30,1.956,3.421075645,3.078049847,590
AB,HOK,HOK,SEK,1,5,11,1B,30,2.027,3.545255794,3.202229996,590
P,SEK,HOK,SEK,1,5,11,1C,30,1.323,2.313948404,1.970922606,590
AB,SEK,HOK,SEK,1,5,11,1D,30,2.098,3.669435942,3.326410144,590
P,SEK,SEK,SEK,1,5,11,1E,30,1.401,2.450371666,2.107345868,590
AB,SEK,SEK,SEK,1,5,11,1F,30,1.309,2.289462178,1.94643638,590
P,HOK,SEK,SEK,1,5,11,1G,30,1.073,1.876694359,1.533668561,590
