date,hours,time,temp_c,light_lux
06/28/2023 00:00:00,3:44:32,AM,16.86,0.00
06/28/2023 00:00:00,4:44:32,AM,16.69,0.00
06/28/2023 00:00:00,5:44:32,AM,16.51,97.88
06/28/2023 00:00:00,6:44:32,AM,16.39,342.24
06/28/2023 00:00:00,7:44:32,AM,16.21,720.64
06/28/2023 00:00:00,8:44:32,AM,16.26,971.20
06/28/2023 00:00:00,9:44:32,AM,16.39,3101.44
06/28/2023 00:00:00,10:44:32,AM,16.90,3658.24
06/28/2023 00:00:00,11:44:32,AM,17.89,7388.16
06/28/2023 00:00:00,12:44:32,PM,19.00,17479.68
06/28/2023 00:00:00,1:44:32,PM,19.69,15221.76
06/28/2023 00:00:00,2:44:32,PM,20.07,10385.92
06/28/2023 00:00:00,3:44:32,PM,18.66,723.52
06/28/2023 00:00:00,4:44:32,PM,19.00,688.00
06/28/2023 00:00:00,5:44:32,PM,19.35,415.68
06/28/2023 00:00:00,6:44:32,PM,19.47,335.36
06/28/2023 00:00:00,7:44:32,PM,19.56,295.44
06/28/2023 00:00:00,8:44:32,PM,19.30,197.44
06/28/2023 00:00:00,9:44:32,PM,19.00,1.24
06/28/2023 00:00:00,10:44:32,PM,18.57,0.00
06/28/2023 00:00:00,11:44:32,PM,18.23,0.00
06/29/2023 00:00:00,12:44:32,AM,17.89,0.00
06/29/2023 00:00:00,1:44:32,AM,17.54,0.00
06/29/2023 00:00:00,2:44:32,AM,17.24,0.00
06/29/2023 00:00:00,3:44:32,AM,17.03,0.00
06/29/2023 00:00:00,4:44:32,AM,16.81,0.00
06/29/2023 00:00:00,5:44:32,AM,16.64,76.04
06/29/2023 00:00:00,6:44:32,AM,16.51,616.96
06/29/2023 00:00:00,7:44:32,AM,16.51,869.44
06/29/2023 00:00:00,8:44:32,AM,16.43,1017.60
06/29/2023 00:00:00,9:44:32,AM,16.34,1623.04
06/29/2023 00:00:00,10:44:32,AM,16.81,4151.04
06/29/2023 00:00:00,11:44:32,AM,17.97,8491.52
06/29/2023 00:00:00,12:44:32,PM,19.00,10319.36
06/29/2023 00:00:00,1:44:32,PM,19.73,15549.44
06/29/2023 00:00:00,2:44:32,PM,18.66,4130.56
06/29/2023 00:00:00,3:44:32,PM,18.62,2772.48
06/29/2023 00:00:00,4:44:32,PM,18.57,1326.08
06/29/2023 00:00:00,5:44:32,PM,18.62,490.08
06/29/2023 00:00:00,6:44:32,PM,18.83,457.60
06/29/2023 00:00:00,7:44:32,PM,18.87,311.20
06/29/2023 00:00:00,8:44:32,PM,18.79,150.52
06/29/2023 00:00:00,9:44:32,PM,18.57,1.87
06/29/2023 00:00:00,10:44:32,PM,18.23,0.00
06/29/2023 00:00:00,11:44:32,PM,17.97,0.00
06/30/2023 00:00:00,12:44:32,AM,17.67,0.00
06/30/2023 00:00:00,1:44:32,AM,17.50,0.00
06/30/2023 00:00:00,2:44:32,AM,17.29,0.00
06/30/2023 00:00:00,3:44:32,AM,17.03,0.00
06/30/2023 00:00:00,4:44:32,AM,16.81,0.20
06/30/2023 00:00:00,5:44:32,AM,16.64,130.44
06/30/2023 00:00:00,6:44:32,AM,16.56,797.12
06/30/2023 00:00:00,7:44:32,AM,16.51,1168.32
06/30/2023 00:00:00,8:44:32,AM,16.56,920.96
06/30/2023 00:00:00,9:44:32,AM,16.69,1962.24
06/30/2023 00:00:00,10:44:32,AM,17.63,6307.84
