date,hours,time,temp_c,light_lux
06/24/2023 00:00:00,1:05:46,PM,34.70,304.96
06/24/2023 00:00:00,2:05:46,PM,16.86,680.64
06/24/2023 00:00:00,3:05:46,PM,18.19,4015.36
06/24/2023 00:00:00,4:05:46,PM,18.27,2648.32
06/24/2023 00:00:00,5:05:46,PM,18.19,2300.80
06/24/2023 00:00:00,6:05:46,PM,17.20,282.24
06/24/2023 00:00:00,7:05:46,PM,16.47,185.44
06/24/2023 00:00:00,8:05:46,PM,16.08,50.56
06/24/2023 00:00:00,9:05:46,PM,15.83,8.46
06/24/2023 00:00:00,10:05:46,PM,15.57,0.00
06/24/2023 00:00:00,11:05:46,PM,15.36,0.00
06/25/2023 00:00:00,12:05:46,AM,15.23,0.00
06/25/2023 00:00:00,1:05:46,AM,15.10,0.00
06/25/2023 00:00:00,2:05:46,AM,14.88,0.00
06/25/2023 00:00:00,3:05:46,AM,14.67,0.00
06/25/2023 00:00:00,4:05:46,AM,14.33,0.00
06/25/2023 00:00:00,5:05:46,AM,14.11,1.55
06/25/2023 00:00:00,6:05:46,AM,13.90,51.90
06/25/2023 00:00:00,7:05:46,AM,13.73,132.52
06/25/2023 00:00:00,8:05:46,AM,13.77,337.92
06/25/2023 00:00:00,9:05:46,AM,14.03,284.00
06/25/2023 00:00:00,10:05:46,AM,14.58,1187.84
06/25/2023 00:00:00,11:05:46,AM,14.84,1844.48
06/25/2023 00:00:00,12:05:46,PM,17.16,8486.40
06/25/2023 00:00:00,1:05:46,PM,16.13,140.56
06/25/2023 00:00:00,2:05:46,PM,16.94,178.32
06/25/2023 00:00:00,3:05:46,PM,17.89,1006.72
06/25/2023 00:00:00,4:05:46,PM,18.23,1049.60
06/25/2023 00:00:00,5:05:46,PM,18.06,537.92
06/25/2023 00:00:00,6:05:46,PM,17.50,64.44
06/25/2023 00:00:00,7:05:46,PM,16.86,31.74
06/25/2023 00:00:00,8:05:46,PM,16.34,17.43
06/25/2023 00:00:00,9:05:46,PM,16.04,4.01
06/25/2023 00:00:00,10:05:46,PM,15.74,0.00
06/25/2023 00:00:00,11:05:46,PM,15.57,0.00
06/26/2023 00:00:00,12:05:46,AM,15.31,0.00
06/26/2023 00:00:00,1:05:46,AM,15.10,0.00
06/26/2023 00:00:00,2:05:46,AM,14.84,0.00
06/26/2023 00:00:00,3:05:46,AM,14.58,0.00
06/26/2023 00:00:00,4:05:46,AM,14.37,0.00
06/26/2023 00:00:00,5:05:46,AM,14.03,0.00
06/26/2023 00:00:00,6:05:46,AM,13.81,4.45
06/26/2023 00:00:00,7:05:46,AM,13.68,13.84
06/26/2023 00:00:00,8:05:46,AM,13.73,23.05
06/26/2023 00:00:00,9:05:46,AM,13.90,32.69
06/26/2023 00:00:00,10:05:46,AM,14.41,77.52
06/26/2023 00:00:00,11:05:46,AM,14.93,95.76
06/26/2023 00:00:00,12:05:46,PM,15.53,107.48
06/26/2023 00:00:00,1:05:46,PM,16.30,51.00
06/26/2023 00:00:00,2:05:46,PM,17.03,63.54
06/26/2023 00:00:00,3:05:46,PM,17.80,375.04
06/26/2023 00:00:00,4:05:46,PM,18.23,243.20
06/26/2023 00:00:00,5:05:46,PM,18.10,246.80
06/26/2023 00:00:00,6:05:46,PM,17.59,35.58
06/26/2023 00:00:00,7:05:46,PM,16.99,20.13
06/26/2023 00:00:00,8:05:46,PM,16.51,16.51
06/26/2023 00:00:00,9:05:46,PM,16.17,3.34
06/26/2023 00:00:00,10:05:46,PM,15.87,0.00
06/26/2023 00:00:00,11:05:46,PM,15.66,0.00
06/27/2023 00:00:00,12:05:46,AM,15.48,0.00
06/27/2023 00:00:00,1:05:46,AM,15.23,0.00
06/27/2023 00:00:00,2:05:46,AM,15.06,0.00
06/27/2023 00:00:00,3:05:46,AM,14.88,0.00
06/27/2023 00:00:00,4:05:46,AM,14.63,0.00
06/27/2023 00:00:00,5:05:46,AM,14.50,0.00
06/27/2023 00:00:00,6:05:46,AM,14.28,2.89
06/27/2023 00:00:00,7:05:46,AM,14.15,9.60
06/27/2023 00:00:00,8:05:46,AM,14.24,19.24
06/27/2023 00:00:00,9:05:46,AM,14.50,18.79
06/27/2023 00:00:00,10:05:46,AM,14.67,67.16
06/27/2023 00:00:00,11:05:46,AM,15.78,6499.84
06/27/2023 00:00:00,12:05:46,PM,15.66,34.47
06/27/2023 00:00:00,1:05:46,PM,16.56,7.35
06/27/2023 00:00:00,2:05:46,PM,17.33,11.58
06/27/2023 00:00:00,3:05:46,PM,18.02,73.06
06/27/2023 00:00:00,4:05:46,PM,18.32,60.04
06/27/2023 00:00:00,5:05:46,PM,18.27,49.22
06/27/2023 00:00:00,6:05:46,PM,17.84,5.12
06/27/2023 00:00:00,7:05:46,PM,17.29,1.55
06/27/2023 00:00:00,8:05:46,PM,16.90,0.44
06/27/2023 00:00:00,9:05:46,PM,16.64,0.00
06/27/2023 00:00:00,10:05:46,PM,16.30,0.00
06/27/2023 00:00:00,11:05:46,PM,16.00,0.00
06/28/2023 00:00:00,12:05:46,AM,15.74,0.00
06/28/2023 00:00:00,1:05:46,AM,15.61,0.00
06/28/2023 00:00:00,2:05:46,AM,15.44,0.00
06/28/2023 00:00:00,3:05:46,AM,15.23,0.00
06/28/2023 00:00:00,4:05:46,AM,15.01,0.00
06/28/2023 00:00:00,5:05:46,AM,14.75,0.00
06/28/2023 00:00:00,6:05:46,AM,14.58,0.22
06/28/2023 00:00:00,7:05:46,AM,14.33,0.66
06/28/2023 00:00:00,8:05:46,AM,14.28,1.33
06/28/2023 00:00:00,9:05:46,AM,14.45,2.22
06/28/2023 00:00:00,10:05:46,AM,14.63,6.68
06/28/2023 00:00:00,11:05:46,AM,15.31,13.39
06/28/2023 00:00:00,12:05:46,PM,15.91,14.75
06/28/2023 00:00:00,1:05:46,PM,16.69,3.11
06/28/2023 00:00:00,2:05:46,PM,17.59,4.23
06/28/2023 00:00:00,3:05:46,PM,18.36,24.17
06/28/2023 00:00:00,4:05:46,PM,18.83,22.33
06/28/2023 00:00:00,5:05:46,PM,18.83,20.55
06/28/2023 00:00:00,6:05:46,PM,18.40,1.55
06/28/2023 00:00:00,7:05:46,PM,17.72,0.44
06/28/2023 00:00:00,8:05:46,PM,17.24,0.22
06/28/2023 00:00:00,9:05:46,PM,17.16,0.00
06/28/2023 00:00:00,10:05:46,PM,16.94,0.00
06/28/2023 00:00:00,11:05:46,PM,16.43,0.00
06/29/2023 00:00:00,12:05:46,AM,16.17,0.00
06/29/2023 00:00:00,1:05:46,AM,15.87,0.00
06/29/2023 00:00:00,2:05:46,AM,15.74,0.00
06/29/2023 00:00:00,3:05:46,AM,15.53,0.00
06/29/2023 00:00:00,4:05:46,AM,15.27,0.00
06/29/2023 00:00:00,5:05:46,AM,15.01,0.00
06/29/2023 00:00:00,6:05:46,AM,14.75,0.00
06/29/2023 00:00:00,7:05:46,AM,14.63,0.44
