date,hours,time,temp_c,light_lux
06/28/2023 00:00:00,4:45:16,AM,14.80,0.00
06/28/2023 00:00:00,5:45:16,AM,14.54,8.96
06/28/2023 00:00:00,6:45:16,AM,14.33,35.56
06/28/2023 00:00:00,7:45:16,AM,14.28,76.34
06/28/2023 00:00:00,8:45:16,AM,14.41,144.32
06/28/2023 00:00:00,9:45:16,AM,14.54,366.56
06/28/2023 00:00:00,10:45:16,AM,15.14,256.08
06/28/2023 00:00:00,11:45:16,AM,16.30,3138.56
06/28/2023 00:00:00,12:45:16,PM,16.64,1882.24
06/28/2023 00:00:00,1:45:16,PM,17.54,1523.84
06/28/2023 00:00:00,2:45:16,PM,18.23,1921.92
06/28/2023 00:00:00,3:45:16,PM,18.87,159.44
06/28/2023 00:00:00,4:45:16,PM,18.92,96.56
06/28/2023 00:00:00,5:45:16,PM,18.49,68.40
06/28/2023 00:00:00,6:45:16,PM,17.80,48.64
06/28/2023 00:00:00,7:45:16,PM,17.16,27.16
06/28/2023 00:00:00,8:45:16,PM,16.81,12.51
06/28/2023 00:00:00,9:45:16,PM,16.94,0.00
06/28/2023 00:00:00,10:45:16,PM,15.83,0.00
06/28/2023 00:00:00,11:45:16,PM,16.13,0.00
06/29/2023 00:00:00,12:45:16,AM,15.87,0.00
06/29/2023 00:00:00,1:45:16,AM,15.66,0.00
06/29/2023 00:00:00,2:45:16,AM,15.44,0.00
06/29/2023 00:00:00,3:45:16,AM,15.27,0.00
06/29/2023 00:00:00,4:45:16,AM,14.97,0.00
06/29/2023 00:00:00,5:45:16,AM,14.63,6.67
06/29/2023 00:00:00,6:45:16,AM,14.58,45.26
06/29/2023 00:00:00,7:45:16,AM,14.45,38.53
06/29/2023 00:00:00,8:45:16,AM,14.75,129.32
06/29/2023 00:00:00,9:45:16,AM,14.88,166.24
06/29/2023 00:00:00,10:45:16,AM,15.31,317.44
06/29/2023 00:00:00,11:45:16,AM,16.17,1814.40
06/29/2023 00:00:00,12:45:16,PM,16.73,841.60
06/29/2023 00:00:00,1:45:16,PM,17.16,524.32
06/29/2023 00:00:00,2:45:16,PM,17.20,132.56
06/29/2023 00:00:00,3:45:16,PM,17.33,217.52
06/29/2023 00:00:00,4:45:16,PM,17.63,68.82
06/29/2023 00:00:00,5:45:16,PM,17.59,58.34
06/29/2023 00:00:00,6:45:16,PM,17.29,36.92
06/29/2023 00:00:00,7:45:16,PM,16.81,16.73
06/29/2023 00:00:00,8:45:16,PM,16.47,6.04
06/29/2023 00:00:00,9:45:16,PM,16.86,0.00
06/29/2023 00:00:00,10:45:16,PM,16.56,0.20
06/29/2023 00:00:00,11:45:16,PM,16.00,0.00
06/30/2023 00:00:00,12:45:16,AM,15.74,0.00
